"source","ef_publishdate","ef_activedate","ef_retiredate","ef_activeyear","service_type","emission_category","emission_scope","country","subregion","service_type_unit","ghg","ghg_unit","source_emission_factor","unit_conversion","conversion_factor","ghg_emission_factor"
"EPA CCCL Emission Factors for GHG Inventories","2023/09/12 00:00:00","2024/01/01 00:00:00",NA,2024,"Aviation Gasoline","Mobile","scope 1","United States",NA,"gallons","CO2","kg",8.31,1,"kg_per_kg",8.31
"EPA CCCL Emission Factors for GHG Inventories","2023/09/12 00:00:00","2024/01/01 00:00:00",NA,2024,"Aviation Gasoline","Mobile","scope 1","United States",NA,"gallons","CH4","kg",NA,1,"kg_per_kg",0
"EPA CCCL Emission Factors for GHG Inventories","2023/09/12 00:00:00","2024/01/01 00:00:00",NA,2024,"Aviation Gasoline","Mobile","scope 1","United States",NA,"gallons","N2O","kg",NA,1,"kg_per_kg",0
"EPA CCCL Emission Factors for GHG Inventories","2023/09/12 00:00:00","2024/01/01 00:00:00",NA,2024,"Biodiesel (100%)","Mobile","scope 1","United States",NA,"gallons","CO2","kg",9.45,1,"kg_per_kg",9.45
"EPA CCCL Emission Factors for GHG Inventories","2023/09/12 00:00:00","2024/01/01 00:00:00",NA,2024,"Biodiesel (100%)","Mobile","scope 1","United States",NA,"gallons","CH4","kg",NA,1,"kg_per_kg",0
"EPA CCCL Emission Factors for GHG Inventories","2023/09/12 00:00:00","2024/01/01 00:00:00",NA,2024,"Biodiesel (100%)","Mobile","scope 1","United States",NA,"gallons","N2O","kg",NA,1,"kg_per_kg",0
"EPA CCCL Emission Factors for GHG Inventories","2023/09/12 00:00:00","2024/01/01 00:00:00",NA,2024,"Compressed Natural Gas (CNG)","Mobile","scope 1","United States",NA,"scf","CO2","kg",0.05444,1,"kg_per_kg",0.05444
"EPA CCCL Emission Factors for GHG Inventories","2023/09/12 00:00:00","2024/01/01 00:00:00",NA,2024,"Compressed Natural Gas (CNG)","Mobile","scope 1","United States",NA,"scf","CH4","kg",NA,1,"kg_per_kg",0
"EPA CCCL Emission Factors for GHG Inventories","2023/09/12 00:00:00","2024/01/01 00:00:00",NA,2024,"Compressed Natural Gas (CNG)","Mobile","scope 1","United States",NA,"scf","N2O","kg",NA,1,"kg_per_kg",0
"EPA CCCL Emission Factors for GHG Inventories","2023/09/12 00:00:00","2024/01/01 00:00:00",NA,2024,"Diesel Fuel","Mobile","scope 1","United States",NA,"gallons","CO2","kg",10.21,1,"kg_per_kg",10.21
"EPA CCCL Emission Factors for GHG Inventories","2023/09/12 00:00:00","2024/01/01 00:00:00",NA,2024,"Diesel Fuel","Mobile","scope 1","United States",NA,"gallons","CH4","kg",NA,1,"kg_per_kg",0
"EPA CCCL Emission Factors for GHG Inventories","2023/09/12 00:00:00","2024/01/01 00:00:00",NA,2024,"Diesel Fuel","Mobile","scope 1","United States",NA,"gallons","N2O","kg",NA,1,"kg_per_kg",0
