asset_id,asset_type,asset_subtype,address,city,state,zip,country,region,subregion,business_unit,year_built,sqft,service_type,unit,vendor,account_id,meter_number,date,year,cost,usage,emission_category,service_subcategory1,service_subcategory2,emission_scope,kgco2e_perunit,kg_co2e,mt_co2e,ef_source,ef_publishdate
B1456,Building,Office,"",Bellingham,Washington,98226,United States,West Coast,NWPP,Operations,1993,342,Electricity,kWh,"","","","",2023,"",31231.907,Indirect Energy,"","",Scope 2,0.274775324397867,8581.75737748902,8.58175737748902,USEPA eGRID2022,01/30/2024
B1457,Building,Office,"",Bellingham,Washington,98225,United States,West Coast,NWPP,Operations,2005,3280,Electricity,kWh,"","","","",2023,"",19389.588,Indirect Energy,"","",Scope 2,0.274775324397867,5327.78033264099,5.32778033264099,USEPA eGRID2022,01/30/2024
B1458,Building,Office,"",Bellingham,Washington,98225,United States,West Coast,NWPP,Operations,2003,20142,Electricity,kWh,"","","","",2023,"",185862.407,Indirect Energy,"","",Scope 2,0.274775324397867,51070.4031767934,51.0704031767934,USEPA eGRID2022,01/30/2024
B1458,Building,Office,"",Bellingham,Washington,98225,United States,West Coast,"",Operations,2003,20142,Natural Gas,therms,"","","","",2023,"",2569.69,Stationary,"","",Scope 1,5.31145,13648.7799505,13.6487799505,EPA CCCL Emission Factors for GHG Inventories,09/12/2023
B1564,Building,Office,"",Woodinville,Washington,98072,United States,West Coast,NWPP,Operations,1990,3636,Electricity,kWh,"","","","",2023,"",47302.603,Indirect Energy,"","",Scope 2,0.274775324397867,12997.5880841885,12.9975880841885,USEPA eGRID2022,01/30/2024
B1564,Building,Office,"",Woodinville,Washington,98072,United States,West Coast,"",Operations,1990,3636,Natural Gas,therms,"","","","",2023,"",1382.843,Stationary,"","",Scope 1,5.31145,7344.90145235,7.34490145235,EPA CCCL Emission Factors for GHG Inventories,09/12/2023
B1662,Building,Office,"",Portland,Oregon,97202,United States,West Coast,NWPP,Operations,2007,4821,Electricity,kWh,"","","","",2023,"",106760.001,Indirect Energy,"","",Scope 2,0.274775324397867,29335.0139074916,29.3350139074916,USEPA eGRID2022,01/30/2024
B1662,Building,Office,"",Portland,Oregon,97202,United States,West Coast,"",Operations,2007,4821,Natural Gas,therms,"","","","",2023,"",3541.052,Stationary,"","",Scope 1,5.31145,18808.1206454,18.8081206454,EPA CCCL Emission Factors for GHG Inventories,09/12/2023
B1663,Building,Office,"",Portland,Oregon,97229,United States,West Coast,NWPP,Operations,2015,4316,Electricity,kWh,"","","","",2023,"",74746.451,Indirect Energy,"","",Scope 2,0.274775324397867,20538.4803211143,20.5384803211143,USEPA eGRID2022,01/30/2024
B1663,Building,Office,"",Portland,Oregon,97229,United States,West Coast,"",Operations,2015,4316,Natural Gas,therms,"","","","",2023,"",1793.131,Stationary,"","",Scope 1,5.31145,9524.12564995,9.52412564995,EPA CCCL Emission Factors for GHG Inventories,09/12/2023
