zip,service_type,subregion
2,Electricity,AKMS
6,Electricity,AKGD
7,Electricity,AKMS
10,Electricity,AKMS
11,Electricity,AKGD
12,Electricity,CAMX
14,Electricity,AZNM
15,Electricity,AZNM
16,Electricity,CAMX
17,Electricity,CAMX
18,Electricity,CAMX
19,Electricity,CAMX
20,Electricity,CAMX
22,Electricity,CAMX
26,Electricity,CAMX
27,Electricity,RMPA
28,Electricity,CAMX
29,Electricity,CAMX
31,Electricity,CAMX
32,Electricity,CAMX
33,Electricity,CAMX
34,Electricity,NWPP
35,Electricity,NWPP
37,Electricity,CAMX
38,Electricity,CAMX
39,Electricity,CAMX
40,Electricity,CAMX
41,Electricity,FRCC
42,Electricity,FRCC
43,Electricity,FRCC
44,Electricity,CAMX
45,Electricity,FRCC
47,Electricity,CAMX
48,Electricity,CAMX
49,Electricity,NWPP
50,Electricity,CAMX
51,Electricity,CAMX
52,Electricity,CAMX
53,Electricity,FRCC
54,Electricity,CAMX
55,Electricity,CAMX
56,Electricity,NWPP
58,Electricity,CAMX
59,Electricity,MROW
60,Electricity,MROW
63,Electricity,NWPP
64,Electricity,AZNM
65,Electricity,CAMX
66,Electricity,AZNM
67,Electricity,SPSO
68,Electricity,NWPP
69,Electricity,NWPP
70,Electricity,NWPP
71,Electricity,NWPP
72,Electricity,NWPP
73,Electricity,NWPP
74,Electricity,NWPP
76,Electricity,NWPP
77,Electricity,NWPP
84,Electricity,SRVC
87,Electricity,FRCC
97,Electricity,FRCC
98,Electricity,FRCC
100,Electricity,NWPP
116,Electricity,SRMV
119,Electricity,SRMV
120,Electricity,SRMV
121,Electricity,SRMV
127,Electricity,NEWE
130,Electricity,NEWE
134,Electricity,NEWE
135,Electricity,NEWE
137,Electricity,NEWE
138,Electricity,NEWE
139,Electricity,NEWE
141,Electricity,NEWE
151,Electricity,NEWE
152,Electricity,RFCE
158,Electricity,NEWE
160,Electricity,MROW
161,Electricity,MROW
164,Electricity,MROW
165,Electricity,MROW
166,Electricity,MROW
168,Electricity,NEWE
172,Electricity,NEWE
173,Electricity,NEWE
174,Electricity,NEWE
176,Electricity,NEWE
177,Electricity,NEWE
179,Electricity,NEWE
180,Electricity,NEWE
